Progress,Duration (in seconds),Finished,S1_1_1,S1_2_1,S2-1_1,S2-2_1,S3-1_1,S3-2_1,S4-1_1,S4-2_1,S5-1_1,S5-2_1,S6-1_1,S6-2_1,S7-1_1,S7-2_1,S8-1_1,S8-2_1,S9-1_1,S9-2_1,S10-1_1,S10-2_1,S11-1_1,S11-2_1,S12-1_1,S12-2_1,S13-1_1,S13-2_1,S14-1_1,S14-2_1,S15-1_1,S15-2_1,S16-1_1,S16-2_1,S17-1_1,S17-2_1,S18-1_1,S18-2_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,750,TRUE,,,42,50,77,80,42,30,,,,,73,39,32,69,64,40,37,61,62,25,68,34,,,,,68,55,,,35,72,69,41,,53,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,,reschedule for a later flight,overcharge the next customers,borrow someone's phone,,,teleport into the concert,wave to the parents,honk an angry message in Morse code,refuse to drive her,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,,,request supplies to be airdropped,,ask a friend to take over,finish the race
100,790,TRUE,50,0,100,100,,,100,50,100,100,,,100,100,100,100,,,,,,,100,100,100,72,0,0,,,50,0,100,100,100,100,,59,Male,White / Caucasian,,Some College,Rung 3,start a fundraiser,demand that the airline delays the flight,,pull the fire alarm,lie that her house burnt down,,steal someone else's ticket,tackle him and hold him down,,,,hide the knife in someone else's bag,steal someone else’s ring,move into his father’s apartment,,give Todd her water,leave the store unattended,carry her competitor on her sled
100,977,TRUE,57,29,,,60,51,,,12,20,30,22,,,60,75,47,30,81,83,91,72,20,20,,,,,93,80,,,21,12,81,35,,43,Male,White / Caucasian,,Some College,Rung 4,search for the medication on the black market,,explain the situation to his boss,,bring in the assignment the next day,huddle to conserve energy,,keep an eye on him,honk at the driver until they pull over,yell in gibberish until she leaves,light a fire under the car,ask to check the knife,,,sell all the food to the highest bidder,,tell his lawyer that he’s sick,hide him in the snow
100,1013,TRUE,100,20,,,100,0,100,29,,,100,70,100,51,81,100,18,0,,,,,100,100,100,29,100,0,82,78,100,0,,,,,,39,Female,Black / African American,,College Graduate (4 year),Rung 6,go on strike for better wages,,sell one of his kidneys,renew her membership,,boost morale with a three-legged race,pretend they are conjoined twins,keep an eye on him,take a detour at the next exit,,,hide the knife in someone else's bag,run away,pitch his situation to a reality TV network,organize a fishing crew,yell at Todd for getting stuck,,
100,745,TRUE,100,100,51,0,,,100,0,51,0,51,0,48,100,100,81,,,,,,,,,100,0,100,100,,,100,40,50,0,51,0,,63,Female,White / Caucasian,,High School or equivalent,Rung 4,commit credit card fraud,call a taxi,,crawl past the front desk,call her mom,search for a water source,try to buy a ticket off another person,make cat noises at him until he leaves,,,,,call the taxi company,abandon his father,,saw Todd’s arm off,call his lawyer,call for help
100,720,TRUE,,,78,81,56,71,,,100,100,99,100,70,82,,,94,100,,,100,100,84,100,75,80,,,80,72,,,100,99,70,88,,26,Male,White / Caucasian,,Some College,Rung 6,,steal a passing driver's car,pay the money from his own wallet,,lie that her house burnt down,throw away all of the food,give her ticket to Ted,,tailgate the car,,check that the doors are locked,store the knife in an airport locker,blame it on the maid of honor,,throw disobedient passengers off the boat,,stage a break-in at the store,leave her dogs with him
100,504,TRUE,46,46,,,56,42,42,41,,,,,75,72,42,68,93,92,53,53,94,94,93,91,,,27,29,57,51,44,41,,,,,,24,Female,Hispanic / Latino,,High School or equivalent,Rung 3,switch insurance plans,,explain the situation to his boss,pay for a day-pass to the gym,,,go without Ted,ask the parents if they know him,ram into the car,take her to his house but no further,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,,get another job,request supplies to be airdropped,give Todd her water,,
100,586,TRUE,100,0,83,18,,,9,0,21,0,85,0,,,0,0,,,100,0,,,,,100,100,0,0,,,100,100,0,0,100,93,,35,Male,White / Caucasian,,High School or equivalent,Rung 4,commit credit card fraud,try to convince a passing driver to trade cars,,borrow someone's phone,quickly try to redo the assignment,boost morale with a three-legged race,,read his mind,,steal whatever she has on her,,,run away,move into his father’s apartment,,get her arm stuck in solidarity,call his lawyer,steal his dogs for extra speed
100,578,TRUE,70,0,80,10,40,0,60,0,60,10,,,30,90,90,80,10,0,,,,,,,,,95,50,60,55,100,55,100,90,,,,45,Male,White / Caucasian,,Master's Degree (MS),Rung 7,search for the medication on the black market,take a public bus,get an advance payday loan,crawl past the front desk,quickly try to redo the assignment,,pretend they are conjoined twins,tackle him and hold him down,pull over and call 911,,,,,buy his father a tent,organize a fishing crew,get her arm stuck in solidarity,leave the store unattended,
100,673,TRUE,,,,,75,0,30,10,10,0,100,0,,,70,70,,,75,50,65,0,70,60,75,70,,,70,50,35,0,,,100,20,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,pay the money from his own wallet,pay for a day-pass to the gym,call her mom,steal all of the food and water,,ask the parents if they know him,,take her to his house but no further,call emergency services,take a train instead,tell his sister as soon as possible,,throw disobedient passengers off the boat,give Todd her water,,steal his dogs for extra speed
