Progress,Duration (in seconds),Finished,S1_1_1,S1_2_1,S2-1_1,S2-2_1,S3-1_1,S3-2_1,S4-1_1,S4-2_1,S5-1_1,S5-2_1,S6-1_1,S6-2_1,S7-1_1,S7-2_1,S8-1_1,S8-2_1,S9-1_1,S9-2_1,S10-1_1,S10-2_1,S11-1_1,S11-2_1,S12-1_1,S12-2_1,S13-1_1,S13-2_1,S14-1_1,S14-2_1,S15-1_1,S15-2_1,S16-1_1,S16-2_1,S17-1_1,S17-2_1,S18-1_1,S18-2_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,512,TRUE,,,26,0,25,35,100,15,,,,,35,85,90,45,,,25,75,,,100,100,80,50,45,50,,,80,15,90,80,0,35,,31,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,,call a taxi,get an advance payday loan,pull the fire alarm,,,teleport into the concert,read his mind,,refuse to drive her,,pretend the knife is part of a hip replacement,run away,move into his father’s apartment,,give Todd her water,ask a friend to take over,call for help
100,384,TRUE,38,0,78,92,,,90,14,100,100,65,22,,,,,76,74,67,92,100,0,,,32,10,,,59,16,100,100,,,100,100,,36,Male,White / Caucasian,,Some College,Rung 5,search for the medication on the black market,demand that the airline delays the flight,,lie that she left her card inside,copy a friend's assignment,search for a water source,,,honk an angry message in Morse code,take her to his house but no further,pour water on the car to cool it,,call the taxi company,,ration their food,leave Todd to save herself,,steal his dogs for extra speed
100,655,TRUE,40,30,70,51,100,25,,,100,75,,,90,70,,,100,52,100,20,,,,,100,0,100,40,,,80,0,70,25,100,100,,60,Female,White / Caucasian,,High School or equivalent,Rung 2,take out a loan,take a public bus,overcharge the next customers,,hypnotize the teacher,,pretend they are conjoined twins,,tailgate the car,call her a cab,,,blame it on the maid of honor,buy his father a tent,,yell at Todd for getting stuck,ask a friend to take over,hide him in the snow
100,389,TRUE,80,50,20,18,0,10,,,55,34,,,71,35,,,15,10,70,71,,,61,55,40,50,,,100,84,75,40,,,100,30,,21,Male,White / Caucasian,,Some College,Rung 4,switch insurance plans,try to convince a passing driver to trade cars,get an advance payday loan,,quickly try to redo the assignment,,teleport into the concert,,honk at the driver until they pull over,take her to his house but no further,,ask to check the knife,borrow their mom’s wedding ring,,serve engine fuel to the passengers,hike until she finds cell service,,hide him in the snow
100,593,TRUE,100,100,2,0,61,79,23,9,,,36,25,5,5,59,61,56,5,75,75,,,3,2,94,50,,,,,,,,,5,78,,67,Female,White / Caucasian,,Some College,Rung 4,go on strike for better wages,call a taxi,explain the situation to his boss,pay for a day-pass to the gym,,huddle to conserve energy,go without Ted,keep an eye on him,take a detour at the next exit,call her a cab,,store the knife in an airport locker,blame it on the maid of honor,,,,,carry her competitor on her sled
100,393,TRUE,,,33,25,100,100,70,21,37,30,,,68,85,,,,,27,0,16,0,100,27,61,65,78,28,,,97,44,22,59,,,,46,Female,White / Caucasian,,High School or equivalent,Rung 3,,call a taxi,stage a robbery,crawl past the front desk,quickly try to redo the assignment,,try to buy a ticket off another person,,,take her to his house but no further,pour water on the car to cool it,take a train instead,tell his sister as soon as possible,abandon his father,,leave Todd to save herself,lock up the store,
100,655,TRUE,100,0,,,,,100,0,100,10,,,100,0,100,90,,,100,90,100,0,100,100,50,50,,,100,90,100,0,,,100,10,,39,Male,Asian / Pacific Islander,,High School or equivalent,Rung 2,take out a loan,,,crawl past the front desk,hypnotize the teacher,,pretend they are conjoined twins,wave to the parents,,refuse to drive her,check that the doors are locked,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,throw disobedient passengers off the boat,give Todd her water,,finish the race
100,684,TRUE,48,3,83,77,87,50,53,85,,,,,58,37,,,29,2,50,54,56,47,,,87,84,60,73,,,,,62,92,81,89,,39,Male,White / Caucasian,,High School or equivalent,Rung 3,switch insurance plans,steal a passing driver's car,overcharge the next customers,pull the fire alarm,,,give her ticket to Ted,,honk an angry message in Morse code,turn invisible,check that the doors are locked,,steal someone else’s ring,check in on his father daily,,,lock up the store,steal his dogs for extra speed
100,439,TRUE,,,88,96,78,46,,,100,25,100,39,,,78,83,100,51,28,46,,,89,95,100,72,43,11,,,,,100,86,0,43,,31,Male,White / Caucasian,,Master's Degree (MS),Rung 5,,demand that the airline delays the flight,get an advance payday loan,,lie that her house burnt down,boost morale with a three-legged race,,keep an eye on him,tailgate the car,steal whatever she has on her,,pretend the knife is part of a hip replacement,blame it on the maid of honor,check in on his father daily,,,leave the store unattended,call for help
100,714,TRUE,100,9,,,,,,,,,24,4,56,33,77,0,100,100,68,55,70,0,29,0,100,16,,,100,53,100,100,,,100,50,,39,Male,Black / African American,,High School or equivalent,Rung 6,commit credit card fraud,,,,,collect wood to start a fire,try to buy a ticket off another person,read his mind,ram into the car,take her to his house but no further,check that the doors are locked,take a train instead,steal someone else’s ring,,throw disobedient passengers off the boat,saw Todd’s arm off,,steal his dogs for extra speed
100,568,TRUE,,,,,,,,,67,5,67,12,64,20,83,51,0,0,32,0,97,0,100,91,85,35,6,5,,,24,0,,,100,27,,52,Male,White / Caucasian,,College Graduate (4 year),Rung 8,,,,,lie that her house burnt down,search for a water source,pretend they are conjoined twins,read his mind,pull over and call 911,call her a cab,pour water on the car to cool it,hide the knife in someone else's bag,steal someone else’s ring,move into his father’s apartment,,give Todd her water,,leave her dogs with him
100,603,TRUE,35,50,,,91,91,20,10,100,40,44,6,,,100,90,100,10,,,100,0,,,,,,,100,80,30,0,70,100,75,100,,47,Male,Black / African American,,Master's Degree (MS),Rung 7,switch insurance plans,,get an advance payday loan,pay for a day-pass to the gym,copy a friend's assignment,collect wood to start a fire,,make cat noises at him until he leaves,honk an angry message in Morse code,,pour water on the car to cool it,,,,serve engine fuel to the passengers,give Todd her water,ask a friend to take over,call for help
100,438,TRUE,,,,,100,100,80,80,100,50,10,50,80,100,91,100,100,0,85,30,59,19,85,75,,,0,15,,,,,50,100,,,,36,Female,White / Caucasian,,Master's Degree (MS),Rung 5,,,stage a robbery,lie that she left her card inside,hypnotize the teacher,search for a water source,teleport into the concert,read his mind,honk an angry message in Morse code,yell in gibberish until she leaves,call emergency services,pretend the knife is part of a hip replacement,,get another job,,,leave the store unattended,
100,573,TRUE,,,10,0,,,80,0,100,0,100,5,,,80,100,,,,,100,0,100,100,80,10,80,0,,,100,90,40,30,90,100,,62,Female,White / Caucasian,,High School or equivalent,Rung 3,,reschedule for a later flight,,lie that she left her card inside,hypnotize the teacher,steal all of the food and water,,keep an eye on him,,,pour water on the car to cool it,threaten security with the knife,call the taxi company,move into his father’s apartment,,saw Todd’s arm off,call his lawyer,carry her competitor on her sled
100,445,TRUE,,,92,64,,,,,89,40,17,7,,,100,94,100,40,83,30,,,,,100,70,83,19,4,11,66,22,81,1,40,11,,23,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 4,,demand that the airline delays the flight,,,quickly try to redo the assignment,huddle to conserve energy,,make cat noises at him until he leaves,honk at the driver until they pull over,take her to his house but no further,,,steal someone else’s ring,get another job,ration their food,hike until she finds cell service,tell his lawyer that he’s sick,carry her competitor on her sled
100,717,TRUE,,,9,0,,,0,0,19,0,100,0,100,92,0,0,,,,,100,81,100,100,,,81,9,58,82,10,0,,,0,0,,32,Female,Native American / American Indian,,College Graduate (4 year),Rung 4,,call a taxi,,renew her membership,bring in the assignment the next day,steal all of the food and water,pretend they are conjoined twins,tackle him and hold him down,,,light a fire under the car,threaten security with the knife,,check in on his father daily,organize a fishing crew,hike until she finds cell service,,call for help
100,496,TRUE,,,,,,,10,10,100,100,,,60,50,100,85,100,70,100,70,,,100,90,50,40,100,10,100,65,100,70,,,0,0,,51,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,,,renew her membership,copy a friend's assignment,,go without Ted,tackle him and hold him down,ram into the car,refuse to drive her,,threaten security with the knife,borrow their mom’s wedding ring,pitch his situation to a reality TV network,sell all the food to the highest bidder,saw Todd’s arm off,,carry her competitor on her sled
100,717,TRUE,93,29,,,92,85,75,10,75,32,74,20,72,30,74,38,36,3,23,6,,,90,62,,,,,,,79,26,94,75,,,,40,Female,White / Caucasian,,High School or equivalent,Rung 3,commit credit card fraud,,overcharge the next customers,borrow someone's phone,bring in the assignment the next day,collect wood to start a fire,try to buy a ticket off another person,read his mind,pull over and call 911,call her a cab,,ask to check the knife,,,,hike until she finds cell service,stage a break-in at the store,
100,708,TRUE,80,50,10,30,100,40,,,100,65,90,40,,,,,20,5,100,95,,,100,100,65,25,75,10,,,,,100,100,85,20,,53,Female,White / Caucasian,,Some College,Rung 4,switch insurance plans,reschedule for a later flight,overcharge the next customers,,copy a friend's assignment,search for a water source,,,pull over and call 911,take her to his house but no further,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,pitch his situation to a reality TV network,,,leave the store unattended,carry her competitor on her sled
100,527,TRUE,50,50,,,40,75,,,100,75,30,25,100,81,,,,,100,0,100,24,,,80,20,99,10,,,100,30,25,50,60,9,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,,explain the situation to his boss,,lie that her house burnt down,collect wood to start a fire,teleport into the concert,,,steal whatever she has on her,slash the tires,,blame it on the maid of honor,pitch his situation to a reality TV network,,get her arm stuck in solidarity,call his lawyer,leave her dogs with him
100,271,TRUE,,,65,55,37,22,66,56,61,41,,,,,67,57,64,42,68,41,,,77,61,68,60,,,68,55,62,57,,,60,55,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,reschedule for a later flight,stage a robbery,pay for a day-pass to the gym,lie that her house burnt down,,,ask the parents if they know him,honk an angry message in Morse code,turn invisible,,hide the knife in someone else's bag,call the taxi company,,request supplies to be airdropped,get her arm stuck in solidarity,,finish the race
100,364,TRUE,81,15,,,98,100,100,0,,,,,100,100,100,33,100,51,0,0,0,0,51,0,,,,,,,0,0,65,23,0,100,,38,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,search for the medication on the black market,,overcharge the next customers,pull the fire alarm,,,steal someone else's ticket,tackle him and hold him down,honk an angry message in Morse code,call her a cab,call emergency services,ask to check the knife,,,,leave Todd to save herself,lock up the store,call for help
100,517,TRUE,65,0,100,0,0,0,,,100,100,,,75,30,100,90,100,100,65,0,100,0,,,60,40,,,,,100,0,70,100,,,,48,Female,White / Caucasian,,College Graduate (4 year),Rung 3,start a fundraiser,steal a passing driver's car,pay the money from his own wallet,,copy a friend's assignment,,go without Ted,tackle him and hold him down,ram into the car,call her a cab,check that the doors are locked,,tell his sister as soon as possible,,,yell at Todd for getting stuck,lock up the store,
100,725,TRUE,39,0,100,0,100,99,95,0,,,,,39,0,46,100,0,0,,,100,0,65,40,,,100,45,100,99,,,18,72,,,,71,Male,White / Caucasian,,College Graduate (4 year),Rung 6,switch insurance plans,demand that the airline delays the flight,overcharge the next customers,pull the fire alarm,,,try to buy a ticket off another person,keep an eye on him,pull over and call 911,,slash the tires,store the knife in an airport locker,,buy his father a tent,serve engine fuel to the passengers,,call his lawyer,
100,790,TRUE,0,100,50,0,100,50,50,0,,,,,50,100,,,100,100,50,50,100,0,,,100,50,,,100,100,51,51,100,100,,,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 4,start a fundraiser,try to convince a passing driver to trade cars,sell one of his kidneys,borrow someone's phone,,,give her ticket to Ted,,ram into the car,yell in gibberish until she leaves,slash the tires,,run away,,sell all the food to the highest bidder,hike until she finds cell service,ask a friend to take over,
100,514,TRUE,51,40,10,9,100,100,,,0,0,60,51,,,,,20,0,,,71,0,19,0,,,,,29,8,11,0,100,100,100,100,,48,Female,White / Caucasian,,College Graduate (4 year),Rung 5,go on strike for better wages,try to convince a passing driver to trade cars,stage a robbery,,call her mom,search for a water source,,,pull over and call 911,,ask to use the mall's loudspeaker,take a train instead,,,organize a fishing crew,give Todd her water,stage a break-in at the store,finish the race
100,678,TRUE,70,10,,,68,20,100,100,28,15,100,0,,,100,20,28,20,,,70,24,,,,,,,10,0,100,40,100,100,100,100,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 3,switch insurance plans,,pay the money from his own wallet,pull the fire alarm,call her mom,steal all of the food and water,,make cat noises at him until he leaves,take a detour at the next exit,,ask to use the mall's loudspeaker,,,,request supplies to be airdropped,get her arm stuck in solidarity,stage a break-in at the store,hide him in the snow
100,679,TRUE,99,24,82,0,92,12,90,17,,,98,0,81,100,80,40,,,,,22,0,87,17,81,0,,,40,19,,,89,100,,,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 3,commit credit card fraud,call a taxi,pay the money from his own wallet,crawl past the front desk,,throw away all of the food,steal someone else's ticket,ask the parents if they know him,,,call emergency services,store the knife in an airport locker,blame it on the maid of honor,,ration their food,,lock up the store,
100,808,TRUE,100,70,,,,,,,,,100,51,80,71,63,68,82,51,51,51,81,51,100,100,,,80,32,,,100,81,100,100,100,95,,63,Female,White / Caucasian,,Master's Degree (MS),Rung 6,go on strike for better wages,,,,,throw away all of the food,try to buy a ticket off another person,ask the parents if they know him,honk an angry message in Morse code,turn invisible,check that the doors are locked,threaten security with the knife,,get another job,,leave Todd to save herself,stage a break-in at the store,hide him in the snow
100,496,TRUE,57,12,59,35,66,70,65,22,83,79,,,93,94,14,75,84,50,,,,,,,,,65,56,36,13,100,45,,,63,20,,39,Male,Hispanic / Latino,,Some College,Rung 2,commit credit card fraud,try to convince a passing driver to trade cars,pay the money from his own wallet,lie that she left her card inside,copy a friend's assignment,,steal someone else's ticket,ask the parents if they know him,tailgate the car,,,,,abandon his father,organize a fishing crew,yell at Todd for getting stuck,,call for help
100,675,TRUE,30,0,75,0,100,80,100,10,75,70,,,100,95,,,100,90,100,10,90,0,,,,,10,0,75,5,60,5,,,,,,45,Female,White / Caucasian,,Master's Degree (MS),Rung 6,start a fundraiser,demand that the airline delays the flight,overcharge the next customers,pull the fire alarm,quickly try to redo the assignment,,pretend they are conjoined twins,,ram into the car,steal whatever she has on her,pour water on the car to cool it,,,get another job,throw disobedient passengers off the boat,leave Todd to save herself,,
100,720,TRUE,69,3,,,100,85,88,21,69,5,44,12,,,74,77,72,22,100,0,70,9,,,30,1,,,99,96,,,,,84,56,,44,Female,White / Caucasian,,College Graduate (4 year),Rung 5,switch insurance plans,,stage a robbery,crawl past the front desk,call her mom,collect wood to start a fire,,wave to the parents,honk at the driver until they pull over,turn invisible,check that the doors are locked,,call the taxi company,,sell all the food to the highest bidder,,,leave her dogs with him
100,496,TRUE,21,0,21,1,,,,,37,0,,,6,0,15,49,100,70,100,11,,,56,7,100,49,100,32,80,17,,,,,100,99,,58,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 6,take out a loan,call a taxi,,,call her mom,,go without Ted,wave to the parents,tailgate the car,yell in gibberish until she leaves,,take a train instead,run away,buy his father a tent,ration their food,,,steal his dogs for extra speed
100,503,TRUE,,,,,51,9,71,19,,,51,11,,,,,100,75,10,8,93,51,93,92,,,81,8,51,19,100,19,29,86,19,81,,63,Female,White / Caucasian,,Master's Degree (MS),Rung 5,,,pay the money from his own wallet,renew her membership,,huddle to conserve energy,,,ram into the car,take her to his house but no further,call emergency services,pretend the knife is part of a hip replacement,,get another job,request supplies to be airdropped,get her arm stuck in solidarity,ask a friend to take over,call for help
100,775,TRUE,,,40,19,82,93,18,1,,,100,0,100,48,66,94,,,100,76,,,50,34,11,87,42,21,,,100,0,,,100,53,,47,Female,White / Caucasian,,College Graduate (4 year),Rung 8,,take a public bus,overcharge the next customers,renew her membership,,throw away all of the food,steal someone else's ticket,keep an eye on him,,steal whatever she has on her,,ask to check the knife,borrow their mom’s wedding ring,get another job,,get her arm stuck in solidarity,,finish the race
100,604,TRUE,25,22,,,82,11,24,9,,,26,22,90,28,11,2,,,,,90,10,75,12,,,59,17,,,82,24,64,87,83,7,,36,Female,White / Caucasian,,Master's Degree (MS),Rung 5,start a fundraiser,,sell one of his kidneys,borrow someone's phone,,collect wood to start a fire,steal someone else's ticket,read his mind,,,slash the tires,store the knife in an airport locker,,check in on his father daily,,get her arm stuck in solidarity,leave the store unattended,hide him in the snow
100,138,TRUE,63,18,,,35,0,25,0,73,71,37,33,60,45,65,36,,,61,41,,,28,32,24,11,100,0,,,,,,,62,0,,72,Female,White / Caucasian,,High School or equivalent,Rung 3,search for the medication on the black market,,sell one of his kidneys,lie that she left her card inside,quickly try to redo the assignment,search for a water source,pretend they are conjoined twins,keep an eye on him,,call her a cab,,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,get another job,,,,carry her competitor on her sled
100,467,TRUE,92,19,16,13,87,29,100,51,90,93,10,8,59,88,,,,,,,100,2,,,67,0,100,100,100,100,,,75,100,,,,61,Female,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,reschedule for a later flight,get an advance payday loan,lie that she left her card inside,bring in the assignment the next day,huddle to conserve energy,try to buy a ticket off another person,,,,slash the tires,,borrow their mom’s wedding ring,abandon his father,sell all the food to the highest bidder,,ask a friend to take over,
100,639,TRUE,85,50,,,85,87,36,2,,,34,0,82,62,51,70,,,,,100,79,63,43,58,71,87,71,95,83,,,74,61,,,,38,Female,,,Vocational/Technical School (2 year),Rung 3,search for the medication on the black market,,overcharge the next customers,renew her membership,,huddle to conserve energy,give her ticket to Ted,ask the parents if they know him,,,light a fire under the car,hide the knife in someone else's bag,tell his sister as soon as possible,abandon his father,serve engine fuel to the passengers,,ask a friend to take over,
100,494,TRUE,59,14,,,7,8,,,,,,,35,73,,,85,29,80,100,21,68,89,2,5,5,85,63,,,36,37,96,85,71,38,,30,Female,Hispanic / Latino,,Some College,Rung 4,switch insurance plans,,pay the money from his own wallet,,,,give her ticket to Ted,,honk at the driver until they pull over,refuse to drive her,ask to use the mall's loudspeaker,hide the knife in someone else's bag,steal someone else’s ring,pitch his situation to a reality TV network,,saw Todd’s arm off,leave the store unattended,leave her dogs with him
100,524,TRUE,,,94,51,,,18,8,54,13,99,19,20,69,94,96,,,72,98,96,33,,,94,80,95,75,22,6,88,79,,,,,,59,Female,White / Caucasian,,High School or equivalent,Rung 6,,steal a passing driver's car,,pay for a day-pass to the gym,quickly try to redo the assignment,boost morale with a three-legged race,try to buy a ticket off another person,make cat noises at him until he leaves,,refuse to drive her,pour water on the car to cool it,,run away,buy his father a tent,request supplies to be airdropped,get her arm stuck in solidarity,,
100,605,TRUE,75,15,,,100,100,100,40,39,14,85,20,81,100,,,30,10,100,100,95,35,60,25,25,34,,,,,,,35,100,,,,49,Female,White / Caucasian,,Some College,Rung 5,start a fundraiser,,stage a robbery,lie that she left her card inside,bring in the assignment the next day,throw away all of the food,give her ticket to Ted,,take a detour at the next exit,take her to his house but no further,ask to use the mall's loudspeaker,store the knife in an airport locker,borrow their mom’s wedding ring,,,,ask a friend to take over,
100,749,TRUE,9,18,74,72,87,14,,,100,1,,,91,100,51,29,,,86,50,91,60,,,84,29,,,94,29,,,81,92,71,39,,46,Female,White / Caucasian,,Master's Degree (MS),Rung 6,start a fundraiser,try to convince a passing driver to trade cars,sell one of his kidneys,,hypnotize the teacher,,pretend they are conjoined twins,ask the parents if they know him,,turn invisible,light a fire under the car,,blame it on the maid of honor,,throw disobedient passengers off the boat,,ask a friend to take over,leave her dogs with him
100,928,TRUE,,,81,100,100,100,0,0,,,10,5,100,100,100,100,92,92,,,0,0,,,,,72,0,100,100,80,50,100,100,,,,36,Female,Asian / Pacific Islander,,Master's Degree (MS),Rung 6,,reschedule for a later flight,sell one of his kidneys,borrow someone's phone,,search for a water source,steal someone else's ticket,read his mind,tailgate the car,,ask to use the mall's loudspeaker,,,get another job,throw disobedient passengers off the boat,leave Todd to save herself,leave the store unattended,
100,276,TRUE,0,0,100,100,,,100,0,100,51,100,100,0,0,100,100,,,,,100,36,100,100,100,100,100,0,,,,,0,0,,,,26,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 7,go on strike for better wages,steal a passing driver's car,,crawl past the front desk,lie that her house burnt down,steal all of the food and water,go without Ted,tackle him and hold him down,,,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,blame it on the maid of honor,pitch his situation to a reality TV network,,,lock up the store,
100,556,TRUE,20,0,0,9,100,23,,,41,18,40,29,,,,,0,0,,,,,49,71,31,11,50,49,51,63,,,0,0,7,0,,29,Female,Hispanic / Latino,,Some College,Rung 1 (Bottom Rung),commit credit card fraud,take a public bus,sell one of his kidneys,,lie that her house burnt down,boost morale with a three-legged race,,,pull over and call 911,,,store the knife in an airport locker,tell his sister as soon as possible,check in on his father daily,serve engine fuel to the passengers,,call his lawyer,leave her dogs with him
100,843,TRUE,60,0,11,98,87,0,23,22,,,19,0,,,,,,,100,98,100,48,100,83,61,0,,,82,22,0,0,,,100,0,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 3,start a fundraiser,reschedule for a later flight,explain the situation to his boss,pull the fire alarm,,collect wood to start a fire,,,,steal whatever she has on her,light a fire under the car,hide the knife in someone else's bag,call the taxi company,,ration their food,yell at Todd for getting stuck,,leave her dogs with him
100,330,TRUE,91,18,71,18,0,0,0,0,,,100,0,70,100,0,0,0,0,0,0,90,0,,,,,,,0,0,89,0,,,,,,40,Female,White / Caucasian,,Some College,Rung 3,commit credit card fraud,take a public bus,sell one of his kidneys,renew her membership,,throw away all of the food,give her ticket to Ted,read his mind,pull over and call 911,turn invisible,check that the doors are locked,,,,request supplies to be airdropped,give Todd her water,,
100,372,TRUE,60,9,61,11,100,80,60,11,65,30,90,50,,,60,60,60,19,81,62,70,9,,,,,50,30,,,80,70,,,,,,33,Female,White / Caucasian,,Master's Degree (MS),Rung 7,search for the medication on the black market,take a public bus,overcharge the next customers,borrow someone's phone,hypnotize the teacher,steal all of the food and water,,wave to the parents,take a detour at the next exit,turn invisible,call emergency services,,,move into his father’s apartment,,hike until she finds cell service,,
100,612,TRUE,,,100,50,90,15,100,6,,,100,5,,,100,50,,,81,100,100,0,70,50,30,10,100,100,,,30,4,,,100,50,,61,Female,White / Caucasian,,Some College,Rung 3,,steal a passing driver's car,pay the money from his own wallet,renew her membership,,steal all of the food and water,,keep an eye on him,,call her a cab,pour water on the car to cool it,threaten security with the knife,borrow their mom’s wedding ring,abandon his father,,give Todd her water,,hide him in the snow
100,326,TRUE,21,1,54,7,,,6,2,26,0,,,49,29,94,95,,,93,30,100,93,100,37,72,10,59,31,,,,,94,8,,,,40,Female,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,try to convince a passing driver to trade cars,,pay for a day-pass to the gym,quickly try to redo the assignment,,go without Ted,make cat noises at him until he leaves,,yell in gibberish until she leaves,light a fire under the car,hide the knife in someone else's bag,borrow their mom’s wedding ring,move into his father’s apartment,,,tell his lawyer that he’s sick,
100,668,TRUE,77,46,31,2,100,94,,,85,88,,,76,100,11,36,47,50,,,,,,,100,94,,,100,49,50,50,100,100,100,78,,29,Male,Hispanic / Latino,,Master's Degree (MS),Rung 4,go on strike for better wages,demand that the airline delays the flight,stage a robbery,,hypnotize the teacher,,steal someone else's ticket,ask the parents if they know him,honk at the driver until they pull over,,,,run away,,sell all the food to the highest bidder,get her arm stuck in solidarity,stage a break-in at the store,steal his dogs for extra speed
100,1014,TRUE,,,100,3,100,10,,,100,50,100,5,,,,,100,55,100,50,100,9,,,0,0,100,10,,,30,0,0,80,0,0,,69,Female,White / Caucasian,,Doctoral Degree (PhD),Rung 6,,steal a passing driver's car,pay the money from his own wallet,,bring in the assignment the next day,boost morale with a three-legged race,,,tailgate the car,refuse to drive her,check that the doors are locked,,tell his sister as soon as possible,buy his father a tent,,give Todd her water,lock up the store,carry her competitor on her sled
100,833,TRUE,51,0,82,41,100,0,61,0,,,75,0,,,81,78,79,1,,,99,0,,,,,2,0,18,0,,,0,61,1,51,,52,Female,White / Caucasian,,High School or equivalent,Rung 3,start a fundraiser,take a public bus,sell one of his kidneys,crawl past the front desk,,collect wood to start a fire,,tackle him and hold him down,honk at the driver until they pull over,,check that the doors are locked,,,move into his father’s apartment,request supplies to be airdropped,,call his lawyer,carry her competitor on her sled
100,517,TRUE,10,0,,,80,0,25,0,100,40,0,0,80,60,,,0,0,,,100,90,100,100,0,44,100,50,,,,,25,30,,,,47,Female,White / Caucasian,,Some College,Rung 4,switch insurance plans,,pay the money from his own wallet,lie that she left her card inside,copy a friend's assignment,collect wood to start a fire,teleport into the concert,,pull over and call 911,,pour water on the car to cool it,ask to check the knife,tell his sister as soon as possible,buy his father a tent,,,call his lawyer,
100,313,TRUE,55,0,0,0,100,92,,,,,,,,,82,51,,,20,0,71,9,61,71,100,10,100,25,21,4,40,0,,,0,20,,43,Female,White / Caucasian,,College Graduate (4 year),Rung 6,switch insurance plans,call a taxi,stage a robbery,,,,,tackle him and hold him down,,call her a cab,call emergency services,ask to check the knife,steal someone else’s ring,abandon his father,ration their food,hike until she finds cell service,,carry her competitor on her sled
100,1019,TRUE,100,80,100,0,70,10,20,0,,,,,100,100,80,100,,,,,100,20,,,,,100,100,100,100,100,0,100,0,0,80,,48,Female,White / Caucasian,,Some College,Rung 4,commit credit card fraud,steal a passing driver's car,get an advance payday loan,renew her membership,,,pretend they are conjoined twins,wave to the parents,,,slash the tires,,,buy his father a tent,sell all the food to the highest bidder,yell at Todd for getting stuck,tell his lawyer that he’s sick,call for help
100,686,TRUE,100,41,100,18,100,100,100,0,100,10,100,20,100,87,100,53,,,,,100,0,,,99,88,,,,,70,0,20,100,,,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 7,go on strike for better wages,demand that the airline delays the flight,stage a robbery,pull the fire alarm,hypnotize the teacher,throw away all of the food,give her ticket to Ted,read his mind,,,slash the tires,,steal someone else’s ring,,,give Todd her water,ask a friend to take over,
100,369,TRUE,,,19,17,12,7,60,10,100,100,,,88,95,,,90,34,,,,,,,3,0,100,58,100,41,100,96,87,94,98,6,,59,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,,take a public bus,explain the situation to his boss,borrow someone's phone,hypnotize the teacher,,try to buy a ticket off another person,,ram into the car,,,,call the taxi company,abandon his father,serve engine fuel to the passengers,saw Todd’s arm off,leave the store unattended,finish the race
100,1057,TRUE,34,39,43,23,55,43,,,,,19,29,81,64,,,78,40,82,6,,,93,54,85,45,37,16,25,37,,,33,5,,,,40,Male,White / Caucasian,,Some College,Rung 3,switch insurance plans,demand that the airline delays the flight,explain the situation to his boss,,,collect wood to start a fire,teleport into the concert,,tailgate the car,yell in gibberish until she leaves,,threaten security with the knife,run away,move into his father’s apartment,request supplies to be airdropped,,tell his lawyer that he’s sick,
100,1096,TRUE,,,27,27,,,78,25,,,90,8,85,83,90,82,89,26,100,69,90,79,75,67,34,22,,,,,,,28,71,78,28,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 8,,call a taxi,,lie that she left her card inside,,boost morale with a three-legged race,pretend they are conjoined twins,tackle him and hold him down,take a detour at the next exit,steal whatever she has on her,pour water on the car to cool it,ask to check the knife,call the taxi company,,,,lock up the store,finish the race
100,900,TRUE,100,75,100,0,100,100,100,50,,,100,75,,,100,50,100,100,,,75,0,100,0,,,0,0,100,100,50,0,,,,,,60,Male,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,steal a passing driver's car,stage a robbery,pull the fire alarm,,boost morale with a three-legged race,,tackle him and hold him down,ram into the car,,call emergency services,ask to check the knife,,move into his father’s apartment,sell all the food to the highest bidder,yell at Todd for getting stuck,,
